,P28011_1162:R1,P28011_1162:R2,P28011_1163:R1,P28011_1163:R2,P28011_1164:R1,P28011_1164:R2,P28011_1165:R1,P28011_1165:R2,P28011_1166:R1,P28011_1166:R2,P28011_1167:R1,P28011_1167:R2,P28011_1168:R1,P28011_1168:R2,P28011_1169:R1,P28011_1169:R2,P28011_1170:R1,P28011_1170:R2,P28011_1171:R1,P28011_1171:R2,P28011_1172:R1,P28011_1172:R2,P28011_1173:R1,P28011_1173:R2,P28011_1174:R1,P28011_1174:R2,P28011_1175:R1,P28011_1175:R2,P28011_1176:R1,P28011_1176:R2,P28011_1177:R1,P28011_1177:R2
_other,9922,8903,16103,13141,19591,14200,16735,12329,16008,13737,108967,107550,16620,14578,9017,8087,8242,6744,13036,11872,7727,6944,10092,8984,7891,6737,7878,7072,6699,5580,8696,7775
_err,3255,3324,15673,18918,44528,49938,52640,57793,24166,26119,23912,25231,23253,25690,18065,18664,88867,89681,17825,18393,3992,3967,9731,9797,32998,32792,3676,3716,2929,2689,3529,3552
PBANKA_1224200_G1,28512,28489,6344,6338,2761,2751,8029,8007,23956,23941,5324,5326,25336,25379,32034,32055,18605,18615,49886,49860,42431,42387,30452,30407,50445,50452,35231,35094,25896,25954,57908,57813
PBANKA_1224200_G2,12363,12419,2036,2037,2813,2833,3729,3737,2739,2754,722,720,2168,2174,3389,3383,2905,2919,3757,3756,4411,4407,4767,4760,2766,2761,3881,3901,4255,4275,3263,3265
PBANKA_1225600_G1,9832,9847,818,828,683,691,110,110,949,952,15,15,502,505,679,676,204,202,227,228,186,186,85,85,116,117,97,98,22,23,60,61
PBANKA_1225600_G2,26314,26298,3160,3153,2930,2928,1714,1713,6493,6454,3902,3897,7111,7082,14464,14363,10154,10152,10419,10376,17784,17732,19132,19079,9339,9302,15130,15067,17506,17488,9160,9112
PBANKA_0914500_G1,17108,17194,1502,1498,343,343,1179,1175,425,428,282,283,681,680,22,22,169,168,789,787,9,9,14,14,15,15,2,3,8,8,2,1
PBANKA_0914500_G2,15536,15565,9824,9849,7185,7189,2573,2577,16723,16701,4687,4695,11102,11109,26393,26309,18751,18749,22793,22793,32467,32408,29605,29506,23585,23649,26578,26513,25173,25225,27190,27124
PBANKA_0622900_G1,27599,27686,4343,4364,1845,1855,2984,2976,10153,10178,3803,3805,8480,8508,21123,21139,15492,15541,17969,17975,23704,23742,21451,21422,14093,14173,18076,18100,16282,16301,13344,13339
PBANKA_0622900_G2,20502,20588,18628,18623,10019,10075,11575,11631,37115,37267,14199,14275,31010,31128,46844,46999,28732,28843,45326,45437,43937,44040,38265,38337,39440,39653,32532,32629,28463,28592,36659,36752
PBANKA_1451000_G1,27157,27434,10632,10725,7094,7194,11385,11535,33130,33526,14116,14266,28456,28752,64363,64916,43615,44050,63848,64431,74680,75335,77402,78264,65981,66876,69139,69801,72685,73489,76876,77761
PBANKA_1451000_G2,13027,13275,9687,9883,3966,4044,3312,3375,5820,5931,3372,3445,6406,6499,12197,12371,10260,10464,8507,8658,17091,17283,18448,18806,6305,6444,12081,12303,15580,15870,6462,6592
PBANKA_0829400_G1,19833,19933,1170,1188,874,882,102,103,1431,1440,239,238,892,896,258,255,281,283,491,492,122,125,13,14,71,70,17,17,5,5,13,13
_weird1,59,64,86430,85805,144919,144628,130775,129781,49070,48750,42653,42447,64342,63379,12601,12210,20907,20773,14839,14654,1009,985,2512,2494,1075,1079,303,307,376,380,305,307
