,P28657_1017:R1,P28657_1017:R2,P28657_1018:R1,P28657_1018:R2,P28657_1019:R1,P28657_1019:R2,P28657_1020:R1,P28657_1020:R2,P28657_1021:R1,P28657_1021:R2,P28657_1022:R1,P28657_1022:R2,P28657_1023:R1,P28657_1023:R2,P28657_1024:R1,P28657_1024:R2,P28657_1025:R1,P28657_1025:R2
_other,43954,46555,37468,40724,41475,44564,20695,23702,38886,48810,41195,47803,30152,28864,22679,22948,32050,32631
_err,7480,5940,6393,5443,7110,5708,3846,3297,7666,6312,7594,6015,5860,4033,4654,3463,6812,4758
PBANKA_0211000.1,19140,20431,16331,17316,17409,18601,2764,2925,2477,2606,3429,3598,4205,4431,21,22,3185,3361
PBANKA_0211000.2,47810,45758,46622,44472,50979,48703,27151,25717,43039,40142,15951,14958,11952,11461,5334,5084,5875,5555
PBANKA_0515000.1,8861,8732,7375,7201,5935,5782,2940,2844,1141,1075,4222,4071,1531,1501,7237,7056,30224,29564
PBANKA_0706400.2,67932,67612,77040,76680,58266,58046,83563,82767,153161,149389,179519,176519,6911,6905,8895,8818,50770,50279
PBANKA_0706400.1,55165,56402,41212,41989,40348,41287,27879,28200,39183,39277,46987,47548,8628,8789,10235,10467,6,5
PBANKA_0933700.2,2,2,8,10,407,414,2,3,305,298,1432,1434,1,1,3827,3848,0,0
PBANKA_1013300.1,32809,32406,22812,22356,28389,27855,7264,7094,6922,6546,3473,3315,1129,1116,2733,2680,268,262
PBANKA_1013300.2,59778,59123,66594,65679,65566,64948,10911,10655,19030,18446,27252,26519,14541,14481,12669,12430,19574,19355
PBANKA_1034400.1,6,5,4,3,13,10,4067,3966,1302,1249,4654,4512,1,2,2,2,10315,10103
PBANKA_1034400.2,5,5,24,24,10,10,6013,6124,6912,6912,9965,10073,7146,7341,10458,10643,6759,6911
PBANKA_1037800.1,48,37,157,150,48,39,2940,2936,2840,2786,1732,1713,1872,1884,7599,7674,23,20
PBANKA_1037800.2,43,35,160,150,42,36,8897,8714,28083,27100,23390,22718,26790,26385,16673,16197,24,18
PBANKA_1039700.1,6,5,37,39,1,4,5,2,6,6,17,15,26998,27668,41755,42512,10954,11180
PBANKA_1039700.2,2,4,11,9,4,3,3,3,4,1,13,12,14993,14386,4547,4342,13626,13048
PBANKA_1101400.1,13,9,60,63,17,15,26,23,9,13,26,21,14286,14039,27936,27497,13206,13022
PBANKA_1101400.2,12,7,35,32,5,3,16,13,7,6,3,5,733,701,2612,2532,6750,6476
PBANKA_1104200.1,8,5,43,44,11,7,13,10,10,7,45,48,53744,55883,20302,20845,65902,68255
PBANKA_1104200.2,4,4,9,8,5,4,4,3,2,2,6,7,6135,6264,8352,8488,31734,32463
PANKA_1214100.1,2,1,0,0,1,1,0,0,0,0,3,2,2,0,43,44,2,2
PANKA_1214100.2,0,0,2,3,4,3,2,2,5,2,7,9,24094,24546,1537,1539,2,1
PANKA_1401600.1,6,6,26,28,4,6,8,10,5,7,17,20,11912,12535,16855,17671,13528,14157
PANKA_1401600.2,2,2,16,16,4,3,7,6,2,2,13,12,13535,13935,5499,5651,4988,5149
_weird1,3,5,2,2,5,6,0,0,1,4,3,1,0,0,1,2,2,4
