,P28657_1001:R1,P28657_1001:R2,P28657_1002:R1,P28657_1002:R2,P28657_1003:R1,P28657_1003:R2,P28657_1004:R1,P28657_1004:R2,P28657_1005:R1,P28657_1005:R2,P28657_1006:R1,P28657_1006:R2,P28657_1007:R1,P28657_1007:R2,P28657_1008:R1,P28657_1008:R2,P28657_1009:R1,P28657_1009:R2,P28657_1010:R1,P28657_1010:R2,P28657_1011:R1,P28657_1011:R2,P28657_1012:R1,P28657_1012:R2,P28657_1013:R1,P28657_1013:R2,P28657_1014:R1,P28657_1014:R2,P28657_1015:R1,P28657_1015:R2,P28657_1016:R1,P28657_1016:R2
_other,45907,46671,33379,32266,113169,94684,51802,48147,48176,49385,24115,24340,29438,31159,32898,40176,28528,32413,28824,35091,45820,56785,69584,87455,21781,24623,25845,32306,21301,23934,29220,36999
_err,8472,6866,103200,102577,41074,37442,30505,29027,15161,13139,65990,64860,48961,48051,8012,7188,7095,5499,6815,5529,10451,9160,16317,13293,5021,3754,5666,4669,5785,4816,7024,5831
PBANKA_0211000.1,22506,23802,2497,2636,229028,244123,11681,12211,811,870,1088,1160,416,442,116,118,233,246,15,15,23,31,12,23,12,11,50,54,20,23,87,91
PBANKA_0211000.2,15447,14665,419,385,1092,1032,101,90,12,6,12,9,206,180,26,24,155,149,7,7,18,15,17,12,10,8,15,11,10,6,8,5
PBANKA_0515000.1,10758,10438,3902,3811,11207,10978,6029,5766,27573,26820,19481,19142,21719,21089,32362,31169,24294,23560,33411,32074,58146,56286,74094,71033,32414,31549,28532,27349,29998,29330,42556,40780
PBANKA_0706400.2,16738,16561,822,809,62,56,4329,4219,14,14,30,27,8,7,22,23,136,137,9,11,23,28,24,24,10,13,45,45,40,35,10,11
PBANKA_0706400.1,13261,13432,1209,1213,346,359,1065,1075,14709,15008,205,211,247,249,44,45,155,161,19,24,23,21,20,24,14,13,211,214,9,9,10,15
PBANKA_0933700.2,12893,12972,1680,1677,4722,4798,1421,1405,2712,2714,1892,1932,1216,1224,1143,1145,1178,1160,721,726,619,598,846,838,193,190,165,166,222,221,158,152
PBANKA_1013300.1,11963,11752,1010,992,1514,1493,1026,998,4033,3911,2993,2935,1663,1641,5708,5574,3275,3178,3132,3020,8435,8261,8902,8500,3529,3453,3989,3778,3872,3801,5024,4797
PBANKA_1013300.2,14882,14647,1879,1830,5523,5519,1246,1212,10152,10020,4618,4566,4454,4384,10373,10041,5941,5800,5914,5769,19346,18829,15758,15300,5165,5084,8315,8010,7029,6893,7538,7235
PBANKA_1034400.1,13786,13545,977,968,3096,3050,874,860,3373,3305,1700,1698,1563,1526,2500,2423,1475,1452,1797,1725,2291,2232,2325,2279,1338,1333,508,474,496,484,1036,997
PBANKA_1034400.2,22493,22957,2597,2619,6233,6389,3456,3505,5681,5801,4518,4651,5041,5172,5709,5718,4379,4461,5456,5490,5659,5668,6846,6869,3055,3108,1316,1312,1107,1136,2322,2345
PBANKA_1037800.1,17501,17623,10251,10199,31462,31860,13540,13538,63677,64284,50533,51196,55167,55310,85316,84854,63029,63160,67334,66836,133413,132545,169540,166380,57565,58197,60327,59625,69316,69885,70814,70197
PBANKA_1037800.2,16718,16355,12969,12654,26391,26024,11791,11408,66590,65436,42390,41734,47283,46184,90747,87975,62119,60708,60413,58293,147458,142710,171224,165281,52945,51929,66222,63848,61310,60185,66219,63697
PBANKA_1039700.1,15420,15643,10309,10486,28618,29247,29824,30020,1384,1423,492,510,544,546,294,301,190,201,45,45,24,23,24,23,19,22,37,37,266,270,145,142
PBANKA_1039700.2,16588,15847,2652,2508,5969,5693,1545,1438,657,628,239,229,596,577,52,51,120,120,2,2,4,3,7,4,2,2,6,5,1,0,1,1
PBANKA_1101400.1,18417,18151,7752,7610,11719,11637,14282,14021,22874,22608,14861,14718,27542,27148,24764,23862,17032,16749,25960,25286,32106,31194,36007,35091,19950,19718,14548,14148,13592,13471,22536,21911
PBANKA_1101400.2,16867,16234,3439,3296,12781,12372,4726,4469,11189,10682,9395,9079,8867,8482,11034,10436,11137,10612,10552,9986,15680,14893,26455,24992,7716,7390,7244,6879,10217,9822,11571,10880
PBANKA_1104200.1,20919,21596,21668,22266,26402,27394,46169,47052,18363,19056,10560,11016,16980,17443,9037,9242,6585,6749,10505,10728,7472,7694,8005,8058,4800,4924,1344,1351,1425,1454,2486,2524
PBANKA_1104200.2,12303,12589,2163,2183,5776,5901,1903,1925,3571,3634,3704,3799,2247,2275,2635,2673,2087,2111,2229,2225,2314,2334,2544,2585,1012,1026,564,570,420,428,559,556
PANKA_1214100.1,15917,16064,1573,1580,1377,1415,3624,3626,36,38,23,23,95,95,0,0,161,159,0,0,0,0,0,1,0,0,0,0,1,1,2,2
PANKA_1214100.2,14089,14192,425,432,2210,2250,504,497,4,5,2,2,38,42,4,4,119,121,2,1,2,2,4,6,6,7,2,4,1,1,1,1
PANKA_1401600.1,15239,15994,4610,4772,8962,9429,54225,56447,9504,9972,7510,7949,6523,6710,7504,7433,6396,6626,4938,5089,5879,5922,9793,10149,2716,2824,1778,1832,2282,2391,2051,2141
PANKA_1401600.2,18940,19425,3787,3914,10755,11172,5031,5122,9540,9863,6199,6406,6964,7136,7245,7123,6598,6758,5119,5171,6641,6611,9435,9542,2764,2850,1862,1876,2165,2246,1972,2012
_weird1,12,15,19889,21375,48353,53524,30221,32842,12628,13802,3888,4246,9459,10165,1096,1043,1486,1613,1123,1199,477,479,397,418,133,142,333,361,376,419,433,461
